correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
Not Spam	Spam or not spam	None	From: "Jay Savage" <daggerquill@gmail.com> To: som.ctc@gmail.com, "Perl List" <beginners@perl.org> Subject: Re: Open() and glob EXPR Body: Please don't top post. On 4/27/07, Somu <som.ctc@gmail.com> wrote:> Please give me one simple example using glob.. I saw the perlopentut,> and perldoc -f open, and perldoc -f glob, but i am unable to make out> anything from them.. I know only how to open files which are in the> same dir or child dir.. But suppose i am in dir D:/Scripts/Test and i> want to open another file E:/Games/readme.txt how do i do it?> open(FH, "<", 'E:\Games\readme.txt'); You've asked four separate questions here: one on paths, one onglobbing, one on finding files, and one pipes. You should probablysplit them up into four threads, but here goes: If you had really read the glob perldoc, you would have seen that itpoints you to File::Glob where everything is expalined and there areat least six examples.  Briefly, then, globbing is a way of generatinglists of files that match certain criteria. It deliberately imitatesthe behavior of popular unix shells. Something like     my @files = <*.doc>; will find all the files in the current directory with filenames endingin ".doc". To use it with open, you'd put it in a loop, e.g.:     while (<*.doc>) {        open(FH, ">", $_) or die "$!\n";        # do something        close FH;    } This makes it convenient to work with multiple files that match aparticular patter, but it doesn't change the fact that to open a file,you have to know where it is. since only you know your filesystem andwhere your files might be stored, you have to provide a valid relativeor absolute path. If you don't know where the file is, you need tofind it somehow. File::Find would be a good place to start. Pipes are something else entirely. A pipe lets you pass output fromfrom one program to another. opening a pipe for reading will let youread the output of another program into your perl program. Opening apipe for writing will pass whatever you write to the filehandle to anexternal program. So something like     open(FH, ">", "| /WINDOWS/System32/notepad.exe") or die "$!\n"; Would send anythig you print to FH on along to notepad. But sincenotepad doesn't, I think, read from STDIN, it probably won't doanything useful. You'll probably need to use Win32::OLE or some otherWindows API to pass your data to notepad. HTH -- jay--------------------------------------------------This email and attachment(s): [  ] blogable; [ x ] ask first; [  ]private and confidential daggerquill [at] gmail [dot] comhttp://www.tuaw.com  http://www.downloadsquad.com  http://www.engatiki.org values of â will give rise to dom!	No answers	NA
Not Spam	Spam or not spam	None	From: "AccuWeather.com Alert" <inbox@messaging.accuweather.com> To: <ktwarwic@speedy.uwaterloo.ca> Subject: AccuWeather.com Alert(tm) Forecast For User|AVCAVC Body: <tr>   <td colspan="2"><img alt=" "  src="http://spotlight.accuweather.com/dyndoc/spotlight/adc_qx210/adc/alert_7day/flasher.gif?partner=accuweather&x=NONODE::&zc=90210" width="1" height="1"></td>  </tr> </table> <table width="670" border="0" cellpadding="0" cellspacing="0" height="121">  <tr>   <td rowspan=4 bgcolor="#C5BEB2" valign="top">   <img src="http://vortex.accuweather.com/iwxpage/alerts/images/email_shim_lt_bottom.gif"   width=30 height=101 border="0"></td>   <td colspan=3 align="right">   <img src="http://vortex.accuweather.com/iwxpage/alerts/images/email_shim_top_bottom.gif"   width=640 height=12 border="0"></td>	No answers	NA
Spam	Spam or not spam	None	From: Paul Cochrane (via RT) <parrotbug-followup@parrotcode.org> To: bugs-bitbucket@netlabs.develooper.com Subject: [perl #42382] [TODO] imcc - delete quotes and emit pbc Body: # New Ticket Created by  Paul Cochrane # Please include the string:  [perl #42382] # in the subject line of all future correspondence about this issue. # <URL: http://rt.perl.org/rt3/Ticket/Display.html?id=42382 >   In the file compilers/imcc/imcc.l, there is the todo item:  "delete quotes, -> emit, pbc"  This needs to be implemented  	No answers	NA
Not Spam	Spam or not spam	None	From: Mark Glines (via RT) <parrotbug-followup@parrotcode.org> X-RT-NewTicket: yes To: bugs-bitbucket@netlabs.develooper.com Subject: [perl #43102] t/pmc/threads.t tests 5,7 fail with --gc=libc Body:  Starting program: /home/paranoid/parrot/parrot detach.pir [Thread debugging using libthread_db enabled] [New Thread -1227352400 (LWP 25907)] warning: Lowest section in /usr/lib/libicudata.so.36 is .hash at 000000d4 [New Thread -1227355216 (LWP 25910)] [New Thread -1235747920 (LWP 25911)] [New Thread -1244140624 (LWP 25912)] thread  Program received signal SIGSEGV, Segmentation fault. [Switching to Thread -1244140624 (LWP 25912)] 0xb7da53ab in clear_cow (interp=0x82256f0, pool=0x82285c8, cleanup=1)     at src/gc/dod.c:469 469                         *refcount               = 0; (gdb) print refcount $1 = (INTVAL * const) 0xb7eb4b41	No answers	NA
Spam	Spam or not spam	None	From: Cialis Works <ycarmichael@optician.com> To: theorize@plg.uwaterloo.ca Subject: How does Cialis work? Body:  What is Cialis?  Cialis is a prescription tablet to treat Erectile Dysfunction (ED) in men. Cialis is a treatment that goes to work fast - as fast as 14 minutes in some patients - and works up to 36 hours. This allows you to respond to sexual stimulation when the moment is right for you and your partner.  Buy Cialis online	No answers	NA
Not Spam	Spam or not spam	None	From: Prof Brian Ripley <ripley@stats.ox.ac.uk> To: "M. Jankowski" <mjankowski@gmail.com> Subject: Re: [R] Need Help with robustbase package: fitnorm2 and plotnorm2 Body: That is not the case: rrcov is a separate package, and one prada depends on.  So somehow you have managed to install prada without an essential dependency 'rrcov'.  That looks like a problem in the Debian/Ubuntu packaging of prada.  (There is a list R-sig-debian for such issues.)  Running install.packages("rrcov") inside R should fix this for you: if your R is not current (i.e. < 2.5.0) you may need to run R as root for that session.  (There may be a Debian package for rrcov for your OS and R version, but without further details I cannot check.)  In the current version of prada (1.12.0 for BioC-2.0 for R 2.5.0) rrcov is in Imports, so probably your version of BioC is not current either.  [...]  --  Brian D. Ripley,                  ripley@stats.ox.ac.uk Professor of Applied Statistics,  http://www.stats.ox.ac.uk/~ripley/ University of Oxford,             Tel:  +44 1865 272861 (self) 1 South Parks Road,                     +44 1865 272866 (PA) Oxford OX1 3TG, UK                Fax:  +44 1865 272595 	No answers	NA
Spam	Spam or not spam	None	From: "Dorothy Joyce" <moarian@carcotic.com> To: <the00@plg.uwaterloo.ca> Subject: JuriSoft 0ffers Mlcrosoft+Adobe+More as low as 19$ Body: 21.1.3.4.  Configuring the ld.so -- for FreeBSD-current only an accurate mapping of BIOS geometries for disks.         device el0 at isa? port 0x300 net irq 9 vector elintr missed the first time?  If you are having hardware trouble, or FreeBSD peripheral, the data must be first copied from where it resides into a operating systems, computer architecture and networking than the filesystem). LIB_DEPENDS=  Xpm\\.4\\.:${PORTSDIR}/graphics/xpm o  FND: Fast Narrow Differential To hook up a printer using a parallel interface, connect the         ``kernel.old'') at the FreeBSD boot prompt instead of pressing	No answers	NA
Not Spam	Spam or not spam	None	To: samba-cvs@samba.org From: metze@samba.org Subject: svn commit: samba r22993 - in         branches/SAMBA_4_0/source/scripting/ejs: . Body: WebSVN: http://websvn.samba.org/cgi-bin/viewcvs.cgi?view=rev&root=samba&rev=22993  Log: - make it possible to load a dsdb_schema from ldif via the ejs bindings - make it possible to set ntds_objectGUID and ntds_invocationId via the ejy bindings  metze Modified:    branches/SAMBA_4_0/source/scripting/ejs/config.mk    branches/SAMBA_4_0/source/scripting/ejs/smbcalls_ldb.c 	No answers	NA
Spam	Spam or not spam	None	To: <the00@plg.uwaterloo.ca> Subject: Doctor Leola From: HealthyLife <the00@plg.uwaterloo.ca> Body: <!This article approaches a subject that needs a lot of public discussion.    When a group's religious views can influence world-wide and peace,  they become a matter of interest to us all.  These are the people who support war in the Mid East.  In this sentence -- the author sums it up well.  <gj >  "....And in a strange sense, war is kinda good and peace is kinda bad --  since war is a sign that the end is near and peace on earth is a sign of the Antichrist. Any Christian who doesnA?t agree with all this is deceived at best and a heretic at worst...." 	No answers	NA
Spam	Spam or not spam	None	From: "Jaya Hasan" <manassehfalsifiable@welshru.com> To: <gnitpick@speedy.uwaterloo.ca> Subject: re: Body: Have you seen how these sub-one-cent companies take off on Good News?  For the past two months, every one we have brought you has shown Amazing Appreciation.  At such a low price even the smallest Gain means a Significant Percentage Return.  We called (P)(P)(T)(L) as one to watch on Friday because of a Highly Anticipated Report from the Field.  It moved up 13% on Friday and the news isn't even out yet.  Just wait till word hits the street!  On second thought, Don't Wait! 	No answers	NA
