id	task_id	user_id	data	created_at	updated_at	confidence	submitted_at
2813	490	120	 Snow White and the Seven Dwarfs	2015-04-25 03:55:12	2015-04-25 03:55:44	1	2015-04-25 03:55:44
2814	488	120	 A Passage to India	2015-04-25 03:55:44	2015-04-25 03:56:02	1	2015-04-25 03:56:02
2815	485	120	Star Wars	2015-04-25 03:56:02	2015-04-25 03:56:17	1	2015-04-25 03:56:17
2816	489	120	Apollo 13	2015-04-25 03:56:18	2015-04-25 03:56:30	1	2015-04-25 03:56:30
2817	483	120	 The Shawshank Redemption	2015-04-25 03:56:31	2015-04-25 03:56:47	1	2015-04-25 03:56:47
2818	482	120	 The Jungle Book	2015-04-25 03:56:47	2015-04-25 03:57:06	1	2015-04-25 03:57:06
2819	481	120	 The Wizard of Oz	2015-04-25 03:57:06	2015-04-25 03:57:19	2	2015-04-25 03:57:19
2820	486	120	 Alien	2015-04-25 03:57:20	2015-04-25 03:57:34	2	2015-04-25 03:57:34
2821	484	120	 Jurassic Park	2015-04-25 03:57:34	2015-04-25 03:57:48	2	2015-04-25 03:57:48
2822	500	120	 The Artist	2015-04-25 03:57:48	2015-04-25 03:58:02	1	2015-04-25 03:58:02
2823	498	120	 A Passage through India	2015-04-25 03:58:02	2015-04-25 03:58:42	2	2015-04-25 03:58:42
2824	494	120	 Forest Gump	2015-04-25 03:58:42	2015-04-25 03:59:02	2	2015-04-25 03:59:02
2825	497	120	 Up	2015-04-25 03:59:03	2015-04-25 03:59:15	2	2015-04-25 03:59:15
2826	499	120	 The Theory of Everything	2015-04-25 03:59:16	2015-04-25 03:59:44	2	2015-04-25 03:59:44
2827	496	120	Life of Pi	2015-04-25 03:59:45	2015-04-25 04:00:03	2	2015-04-25 04:00:03
2828	491	120	Schindler's List	2015-04-25 04:00:03	2015-04-25 04:00:19	2	2015-04-25 04:00:19
2829	495	120	The Lord of the Rings	2015-04-25 04:00:19	2015-04-25 04:00:35	5	2015-04-25 04:00:35
2830	493	120	Ice Age	2015-04-25 04:00:36	2015-04-25 04:01:01	2	2015-04-25 04:01:01
2831	492	120	 Titanic	2015-04-25 04:01:01	2015-04-25 04:01:17	4	2015-04-25 04:01:17
2832	509	120	right	2015-04-25 04:01:46	2015-04-25 04:02:15	3	2015-04-25 04:02:15
2833	504	120	left	2015-04-25 04:02:15	2015-04-25 04:02:51	3	2015-04-25 04:02:51
2834	502	120	right	2015-04-25 04:02:52	2015-04-25 04:03:27	2	2015-04-25 04:03:27
2835	506	120	left	2015-04-25 04:03:27	2015-04-25 04:03:44	4	2015-04-25 04:03:44
2836	508	120	right	2015-04-25 04:03:44	2015-04-25 04:04:06	3	2015-04-25 04:04:06
2837	510	120	right	2015-04-25 04:04:06	2015-04-25 04:04:35	2	2015-04-25 04:04:35
2838	501	120	right	2015-04-25 04:04:35	2015-04-25 04:05:07	4	2015-04-25 04:05:07
2839	507	120	left	2015-04-25 04:05:08	2015-04-25 04:05:35	2	2015-04-25 04:05:35
2840	503	120	left	2015-04-25 04:05:35	2015-04-25 04:06:11	4	2015-04-25 04:06:11
2841	505	120	left	2015-04-25 04:06:12	2015-04-25 04:06:39	3	2015-04-25 04:06:39
2842	518	120	left	2015-04-25 04:06:39	2015-04-25 04:07:00	3	2015-04-25 04:07:00
2843	511	120	left	2015-04-25 04:07:01	2015-04-25 04:07:27	2	2015-04-25 04:07:27
2844	517	120	right	2015-04-25 04:07:27	2015-04-25 04:07:56	4	2015-04-25 04:07:56
2845	519	120	left	2015-04-25 04:07:56	2015-04-25 04:08:21	2	2015-04-25 04:08:21
2846	514	120	right	2015-04-25 04:08:22	2015-04-25 04:08:46	3	2015-04-25 04:08:46
2847	516	120	left	2015-04-25 04:08:46	2015-04-25 04:09:24	3	2015-04-25 04:09:24
2848	520	120	left	2015-04-25 04:09:24	2015-04-25 04:09:44	3	2015-04-25 04:09:44
2849	513	120	left	2015-04-25 04:09:45	2015-04-25 04:10:03	2	2015-04-25 04:10:03
2850	515	120	left	2015-04-25 04:10:04	2015-04-25 04:10:24	2	2015-04-25 04:10:24
2851	512	120	right	2015-04-25 04:10:24	2015-04-25 04:10:58	2	2015-04-25 04:10:58
2852	109	120	Chile	2015-04-25 04:11:13	2015-04-25 04:11:24	2	2015-04-25 04:11:24
2853	101	120	France	2015-04-25 04:11:24	2015-04-25 04:11:51	4	2015-04-25 04:11:51
2854	110	120	Greece	2015-04-25 04:11:51	2015-04-25 04:12:03	2	2015-04-25 04:12:03
2855	102	120	United States	2015-04-25 04:12:03	2015-04-25 04:12:15	5	2015-04-25 04:12:15
2856	108	120	England	2015-04-25 04:12:15	2015-04-25 04:12:27	2	2015-04-25 04:12:27
2857	104	120	China	2015-04-25 04:12:28	2015-04-25 04:12:40	3	2015-04-25 04:12:40
2858	105	120	Peru	2015-04-25 04:12:41	2015-04-25 04:13:11	2	2015-04-25 04:13:11
2859	103	120	Austria	2015-04-25 04:13:12	2015-04-25 04:13:26	2	2015-04-25 04:13:26
2860	106	120	Israel	2015-04-25 04:13:27	2015-04-25 04:13:38	3	2015-04-25 04:13:38
2861	107	120	Morocco	2015-04-25 04:13:39	2015-04-25 04:13:50	3	2015-04-25 04:13:50
2862	116	120	Greece	2015-04-25 04:13:50	2015-04-25 04:14:08	3	2015-04-25 04:14:08
2863	112	120	Egypt	2015-04-25 04:14:08	2015-04-25 04:14:21	4	2015-04-25 04:14:21
2864	117	120	Indonesia	2015-04-25 04:14:21	2015-04-25 04:14:36	3	2015-04-25 04:14:36
2865	120	120	Italy	2015-04-25 04:14:37	2015-04-25 04:14:49	3	2015-04-25 04:14:49
2866	111	120	Saudi Arabia	2015-04-25 04:14:50	2015-04-25 04:15:02	3	2015-04-25 04:15:02
2867	113	120	Brazil	2015-04-25 04:15:02	2015-04-25 04:15:15	3	2015-04-25 04:15:15
2868	119	120	Egypt	2015-04-25 04:15:15	2015-04-25 04:15:24	3	2015-04-25 04:15:24
2869	118	120	India	2015-04-25 04:15:25	2015-04-25 04:15:39	5	2015-04-25 04:15:39
2870	115	120	Indonesia	2015-04-25 04:15:39	2015-04-25 04:15:55	3	2015-04-25 04:15:55
2871	114	120	Singapore	2015-04-25 04:15:56	2015-04-25 04:16:15	2	2015-04-25 04:16:15
2872	169	121	Right	2015-04-25 04:31:30	2015-04-25 04:32:14	4	2015-04-25 04:32:14
2873	161	121	Right	2015-04-25 04:32:14	2015-04-25 04:32:58	4	2015-04-25 04:32:58
2874	163	121	Right	2015-04-25 04:32:59	2015-04-25 04:33:24	4	2015-04-25 04:33:24
2875	165	121	Middle	2015-04-25 04:33:25	2015-04-25 04:33:51	4	2015-04-25 04:33:51
2876	164	121	Right	2015-04-25 04:33:52	2015-04-25 04:34:13	4	2015-04-25 04:34:13
2877	170	121	Right	2015-04-25 04:34:13	2015-04-25 04:34:34	4	2015-04-25 04:34:34
2878	167	121	Middle	2015-04-25 04:34:34	2015-04-25 04:34:58	4	2015-04-25 04:34:58
2879	166	121	Right	2015-04-25 04:34:58	2015-04-25 04:35:23	3	2015-04-25 04:35:23
2880	168	121	Right	2015-04-25 04:35:24	2015-04-25 04:35:48	4	2015-04-25 04:35:48
2881	162	121	Left	2015-04-25 04:35:49	2015-04-25 04:36:21	4	2015-04-25 04:36:21
2882	177	121	Right	2015-04-25 04:36:21	2015-04-25 04:36:45	3	2015-04-25 04:36:45
2883	172	121	Middle	2015-04-25 04:36:46	2015-04-25 04:37:09	4	2015-04-25 04:37:09
2884	180	121	Middle	2015-04-25 04:37:09	2015-04-25 04:37:30	4	2015-04-25 04:37:30
2885	179	121	Right	2015-04-25 04:37:30	2015-04-25 04:37:59	4	2015-04-25 04:37:59
2886	173	121	Left	2015-04-25 04:37:59	2015-04-25 04:38:24	3	2015-04-25 04:38:24
2887	178	121	Right	2015-04-25 04:38:24	2015-04-25 04:38:55	3	2015-04-25 04:38:55
2888	175	121	timeout	2015-04-25 04:38:55	2015-04-25 04:40:32	0	2015-04-25 04:38:55
2889	171	121	Left	2015-04-25 04:40:32	2015-04-25 04:40:55	4	2015-04-25 04:40:55
2890	174	121	Right	2015-04-25 04:40:55	2015-04-25 04:41:20	4	2015-04-25 04:41:20
2891	176	121	Left	2015-04-25 04:41:20	2015-04-25 04:41:45	3	2015-04-25 04:41:45
2892	508	121	left	2015-04-25 04:42:08	2015-04-25 04:42:28	3	2015-04-25 04:42:28
2893	504	121	left	2015-04-25 04:42:29	2015-04-25 04:42:43	3	2015-04-25 04:42:43
2894	503	121	right	2015-04-25 04:42:44	2015-04-25 04:42:50	3	2015-04-25 04:42:50
2895	510	121	left	2015-04-25 04:42:50	2015-04-25 04:42:56	3	2015-04-25 04:42:56
2896	505	121	left	2015-04-25 04:42:56	2015-04-25 04:43:11	3	2015-04-25 04:43:11
2897	506	121	left	2015-04-25 04:43:11	2015-04-25 04:43:25	3	2015-04-25 04:43:25
2898	509	121	right	2015-04-25 04:43:25	2015-04-25 04:43:45	3	2015-04-25 04:43:45
2899	507	121	right	2015-04-25 04:43:45	2015-04-25 04:44:01	2	2015-04-25 04:44:01
2900	501	121	left	2015-04-25 04:44:01	2015-04-25 04:44:20	2	2015-04-25 04:44:20
2901	502	121	right	2015-04-25 04:44:20	2015-04-25 04:44:26	2	2015-04-25 04:44:26
2902	515	121	left	2015-04-25 04:44:26	2015-04-25 04:44:32	3	2015-04-25 04:44:32
2903	514	121	left	2015-04-25 04:44:33	2015-04-25 04:44:39	3	2015-04-25 04:44:39
2904	516	121	right	2015-04-25 04:44:39	2015-04-25 04:44:57	3	2015-04-25 04:44:57
2905	519	121	left	2015-04-25 04:44:57	2015-04-25 04:45:04	3	2015-04-25 04:45:04
2906	518	121	right	2015-04-25 04:45:04	2015-04-25 04:45:09	3	2015-04-25 04:45:09
2907	520	121	left	2015-04-25 04:45:09	2015-04-25 04:45:14	3	2015-04-25 04:45:14
2908	513	121	right	2015-04-25 04:45:14	2015-04-25 04:45:25	3	2015-04-25 04:45:25
2909	517	121	left	2015-04-25 04:45:26	2015-04-25 04:45:40	3	2015-04-25 04:45:40
2910	512	121	left	2015-04-25 04:45:40	2015-04-25 04:45:52	3	2015-04-25 04:45:52
2911	511	121	right	2015-04-25 04:45:53	2015-04-25 04:46:06	2	2015-04-25 04:46:06
2912	488	121	Cry Freedom	2015-04-25 04:46:27	2015-04-25 04:46:48	1	2015-04-25 04:46:48
2913	485	121	 Raiders of the Lost Ark	2015-04-25 04:46:48	2015-04-25 04:47:00	4	2015-04-25 04:47:00
2914	490	121	The Little Mermaid	2015-04-25 04:47:01	2015-04-25 04:47:36	2	2015-04-25 04:47:36
2915	482	121	Mary Poppins	2015-04-25 04:47:36	2015-04-25 04:48:06	2	2015-04-25 04:48:06
2916	481	121	 The Sound of Music	2015-04-25 04:48:07	2015-04-25 04:48:17	4	2015-04-25 04:48:17
2917	489	121	 Chariots of Fire	2015-04-25 04:48:17	2015-04-25 04:48:39	2	2015-04-25 04:48:39
2918	487	121	 Aladdin	2015-04-25 04:48:39	2015-04-25 04:49:13	2	2015-04-25 04:49:13
2919	483	121	 The Shawshank Redemption	2015-04-25 04:49:13	2015-04-25 04:49:32	2	2015-04-25 04:49:32
2920	484	121	 Jurassic Park	2015-04-25 04:49:33	2015-04-25 04:49:43	3	2015-04-25 04:49:43
2921	486	121	E.T. Extra Terrestrial	2015-04-25 04:49:43	2015-04-25 04:50:02	2	2015-04-25 04:50:02
2922	499	121	 Apollo 13	2015-04-25 04:50:03	2015-04-25 04:50:24	3	2015-04-25 04:50:24
2923	492	121	 Titanic	2015-04-25 04:50:25	2015-04-25 04:50:37	4	2015-04-25 04:50:37
2924	497	121	 Up	2015-04-25 04:50:38	2015-04-25 04:51:09	2	2015-04-25 04:51:09
2925	494	121	timeout	2015-04-25 04:51:09	2015-04-25 04:52:13	0	2015-04-25 04:51:09
2926	491	121	 Schindler's List	2015-04-25 04:52:13	2015-04-25 04:52:27	2	2015-04-25 04:52:27
2927	495	121	 Star Wars: Episode 1 The Phantom Menace	2015-04-25 04:52:28	2015-04-25 04:52:51	3	2015-04-25 04:52:51
2928	496	121	Slumdog Millionaire	2015-04-25 04:52:51	2015-04-25 04:53:25	2	2015-04-25 04:53:25
2929	500	121	 The Grand Budapest Hotel	2015-04-25 04:53:26	2015-04-25 04:53:42	2	2015-04-25 04:53:42
2930	493	121	 The Lion King	2015-04-25 04:53:43	2015-04-25 04:53:51	5	2015-04-25 04:53:51
2931	498	121	 Life of Pi	2015-04-25 04:53:52	2015-04-25 04:54:13	5	2015-04-25 04:54:13
2932	108	121	England	2015-04-25 04:54:27	2015-04-25 04:54:37	5	2015-04-25 04:54:37
2933	102	121	United States	2015-04-25 04:54:37	2015-04-25 04:54:46	5	2015-04-25 04:54:46
2934	107	121	Germany	2015-04-25 04:54:47	2015-04-25 04:54:58	3	2015-04-25 04:54:58
2935	105	121	Italy	2015-04-25 04:54:59	2015-04-25 04:55:08	3	2015-04-25 04:55:08
2936	106	121	Turkey	2015-04-25 04:55:09	2015-04-25 04:55:18	3	2015-04-25 04:55:18
2937	101	121	France	2015-04-25 04:55:19	2015-04-25 04:55:27	5	2015-04-25 04:55:27
2938	104	121	China	2015-04-25 04:55:27	2015-04-25 04:55:35	4	2015-04-25 04:55:35
2939	103	121	Spain	2015-04-25 04:55:35	2015-04-25 04:55:48	3	2015-04-25 04:55:48
2940	109	121	Russia	2015-04-25 04:55:48	2015-04-25 04:55:56	4	2015-04-25 04:55:56
2941	110	121	Greece	2015-04-25 04:55:57	2015-04-25 04:56:06	3	2015-04-25 04:56:06
2942	116	121	Algeria	2015-04-25 04:56:07	2015-04-25 04:56:17	3	2015-04-25 04:56:17
2943	117	121	Kenya	2015-04-25 04:56:18	2015-04-25 04:56:34	3	2015-04-25 04:56:34
2944	111	121	Saudi Arabia	2015-04-25 04:56:35	2015-04-25 04:56:44	4	2015-04-25 04:56:44
2945	119	121	Egypt	2015-04-25 04:56:44	2015-04-25 04:56:53	5	2015-04-25 04:56:53
2946	112	121	Egypt	2015-04-25 04:56:54	2015-04-25 04:57:01	4	2015-04-25 04:57:01
2947	118	121	India	2015-04-25 04:57:02	2015-04-25 04:57:11	5	2015-04-25 04:57:11
2948	113	121	Indonesia	2015-04-25 04:57:11	2015-04-25 04:57:28	2	2015-04-25 04:57:28
2949	114	121	Singapore	2015-04-25 04:57:29	2015-04-25 04:57:49	3	2015-04-25 04:57:49
2950	115	121	Indonesia	2015-04-25 04:57:49	2015-04-25 04:57:59	3	2015-04-25 04:57:59
2951	120	121	Italy	2015-04-25 04:57:59	2015-04-25 04:58:10	3	2015-04-25 04:58:10
2952	347	121	55	2015-04-25 04:58:30	2015-04-25 04:58:44	3	2015-04-25 04:58:44
2953	350	121	200	2015-04-25 04:58:44	2015-04-25 04:58:54	2	2015-04-25 04:58:54
2954	342	121	25	2015-04-25 04:58:55	2015-04-25 04:59:09	3	2015-04-25 04:59:09
2955	344	121	300	2015-04-25 04:59:10	2015-04-25 04:59:25	3	2015-04-25 04:59:25
2956	341	121	125	2015-04-25 04:59:26	2015-04-25 04:59:37	3	2015-04-25 04:59:37
2957	345	121	250	2015-04-25 04:59:37	2015-04-25 04:59:47	2	2015-04-25 04:59:47
2958	348	121	300	2015-04-25 04:59:48	2015-04-25 05:00:03	3	2015-04-25 05:00:03
2959	343	121	275	2015-04-25 05:00:03	2015-04-25 05:00:16	3	2015-04-25 05:00:16
2960	346	121	56	2015-04-25 05:00:17	2015-04-25 05:00:30	4	2015-04-25 05:00:30
2961	349	121	400	2015-04-25 05:00:31	2015-04-25 05:00:43	4	2015-04-25 05:00:43
2962	360	121	300	2015-04-25 05:00:47	2015-04-25 05:00:58	3	2015-04-25 05:00:58
2963	353	121	290	2015-04-25 05:00:58	2015-04-25 05:01:13	3	2015-04-25 05:01:13
2964	357	121	450	2015-04-25 05:01:13	2015-04-25 05:01:26	3	2015-04-25 05:01:26
2965	354	121	325	2015-04-25 05:01:26	2015-04-25 05:01:47	3	2015-04-25 05:01:47
2966	352	121	500	2015-04-25 05:01:48	2015-04-25 05:01:58	3	2015-04-25 05:01:58
2967	351	121	375	2015-04-25 05:01:59	2015-04-25 05:02:10	2	2015-04-25 05:02:10
2968	358	121	385	2015-04-25 05:02:10	2015-04-25 05:02:24	3	2015-04-25 05:02:24
2969	355	121	395	2015-04-25 05:02:25	2015-04-25 05:02:35	2	2015-04-25 05:02:35
2970	359	121	90	2015-04-25 05:02:35	2015-04-25 05:02:45	3	2015-04-25 05:02:45
2971	356	121	65	2015-04-25 05:02:45	2015-04-25 05:02:58	3	2015-04-25 05:02:58
2972	483	96	 Chinatown	2015-04-25 05:19:06	2015-04-25 05:19:40	1	2015-04-25 05:19:40
2973	485	96	 Star Trek	2015-04-25 05:19:41	2015-04-25 05:19:59	4	2015-04-25 05:19:59
2974	489	96	 Chariots of Fire	2015-04-25 05:19:59	2015-04-25 05:20:11	1	2015-04-25 05:20:11
2975	481	96	 The Sound of Music	2015-04-25 05:20:11	2015-04-25 05:20:25	3	2015-04-25 05:20:25
2976	488	96	 A Passage to India	2015-04-25 05:20:26	2015-04-25 05:20:40	1	2015-04-25 05:20:40
2977	484	96	 Jurassic Park	2015-04-25 05:20:41	2015-04-25 05:21:13	2	2015-04-25 05:21:13
2978	482	96	 Chitty Chitty Bang Bang	2015-04-25 05:21:13	2015-04-25 05:21:36	1	2015-04-25 05:21:36
2979	490	96	 Snow White and the Seven Dwarfs	2015-04-25 05:21:36	2015-04-25 05:22:05	1	2015-04-25 05:22:05
2980	487	96	 Peter Pan	2015-04-25 05:22:05	2015-04-25 05:22:28	2	2015-04-25 05:22:28
2981	486	96	E.T. Extra Terrestrial	2015-04-25 05:22:28	2015-04-25 05:23:05	1	2015-04-25 05:23:05
2982	497	96	 Up	2015-04-25 05:23:05	2015-04-25 05:23:27	3	2015-04-25 05:23:27
2983	494	96	 Life is Beautiful	2015-04-25 05:23:27	2015-04-25 05:23:53	5	2015-04-25 05:23:53
2984	499	96	 Apollo 13	2015-04-25 05:23:53	2015-04-25 05:24:24	2	2015-04-25 05:24:24
2985	492	96	 Titanic	2015-04-25 05:24:25	2015-04-25 05:24:33	5	2015-04-25 05:24:33
2986	495	96	 Gladiator	2015-04-25 05:24:34	2015-04-25 05:24:54	2	2015-04-25 05:24:54
2987	498	96	 A Passage through India	2015-04-25 05:24:55	2015-04-25 05:25:39	1	2015-04-25 05:25:39
2988	491	96	 Schindler's List	2015-04-25 05:25:40	2015-04-25 05:26:13	3	2015-04-25 05:26:13
2989	493	96	 Ice Age	2015-04-25 05:26:14	2015-04-25 05:26:45	5	2015-04-25 05:26:45
2990	496	96	 Crouching Tiger Hidden Dragon	2015-04-25 05:26:46	2015-04-25 05:26:59	2	2015-04-25 05:26:59
2991	500	96	 Moonrise Kingdom	2015-04-25 05:27:00	2015-04-25 05:27:23	1	2015-04-25 05:27:23
2992	108	96	England	2015-04-25 05:27:37	2015-04-25 05:27:47	5	2015-04-25 05:27:47
2993	101	96	France	2015-04-25 05:27:47	2015-04-25 05:27:56	5	2015-04-25 05:27:56
2994	110	96	Greece	2015-04-25 05:27:56	2015-04-25 05:28:05	5	2015-04-25 05:28:05
2995	104	96	China	2015-04-25 05:28:05	2015-04-25 05:28:15	5	2015-04-25 05:28:15
2996	109	96	Russia	2015-04-25 05:28:15	2015-04-25 05:28:27	5	2015-04-25 05:28:27
2997	103	96	Spain	2015-04-25 05:28:28	2015-04-25 05:28:46	2	2015-04-25 05:28:46
2998	105	96	Italy	2015-04-25 05:28:46	2015-04-25 05:28:56	5	2015-04-25 05:28:56
2999	107	96	United States	2015-04-25 05:28:56	2015-04-25 05:29:30	2	2015-04-25 05:29:30
3000	102	96	United States	2015-04-25 05:29:30	2015-04-25 05:29:37	5	2015-04-25 05:29:37
3001	106	96	Turkey	2015-04-25 05:29:37	2015-04-25 05:29:51	3	2015-04-25 05:29:51
3002	120	96	Italy	2015-04-25 05:29:52	2015-04-25 05:30:22	4	2015-04-25 05:30:22
3003	115	96	Malaysia	2015-04-25 05:30:22	2015-04-25 05:30:47	3	2015-04-25 05:30:47
3004	114	96	Singapore	2015-04-25 05:30:48	2015-04-25 05:31:06	4	2015-04-25 05:31:06
3005	116	96	Egypt	2015-04-25 05:31:07	2015-04-25 05:31:19	4	2015-04-25 05:31:19
3006	113	96	Russia	2015-04-25 05:31:19	2015-04-25 05:31:37	4	2015-04-25 05:31:37
3007	118	96	India	2015-04-25 05:31:38	2015-04-25 05:31:44	5	2015-04-25 05:31:44
3008	119	96	Egypt	2015-04-25 05:31:45	2015-04-25 05:31:53	5	2015-04-25 05:31:53
3009	112	96	Egypt	2015-04-25 05:31:53	2015-04-25 05:32:01	5	2015-04-25 05:32:01
3010	117	96	Peru	2015-04-25 05:32:02	2015-04-25 05:32:31	5	2015-04-25 05:32:31
3011	111	96	Saudi Arabia	2015-04-25 05:32:31	2015-04-25 05:32:41	5	2015-04-25 05:32:41
3012	343	96	50	2015-04-25 05:33:05	2015-04-25 05:33:29	4	2015-04-25 05:33:29
3013	342	96	40	2015-04-25 05:33:29	2015-04-25 05:33:37	4	2015-04-25 05:33:37
3014	349	96	100	2015-04-25 05:33:37	2015-04-25 05:33:51	4	2015-04-25 05:33:51
3015	345	96	50	2015-04-25 05:33:52	2015-04-25 05:34:02	4	2015-04-25 05:34:02
3016	350	96	200	2015-04-25 05:34:02	2015-04-25 05:34:13	4	2015-04-25 05:34:13
3017	347	96	40	2015-04-25 05:34:14	2015-04-25 05:34:24	4	2015-04-25 05:34:24
3018	346	96	60	2015-04-25 05:34:24	2015-04-25 05:34:35	4	2015-04-25 05:34:35
3019	341	96	1	2015-04-25 05:34:36	2015-04-25 05:35:18	5	2015-04-25 05:35:18
3020	348	96	400	2015-04-25 05:35:18	2015-04-25 05:35:39	4	2015-04-25 05:35:39
3021	344	96	300	2015-04-25 05:35:39	2015-04-25 05:35:48	4	2015-04-25 05:35:48
3022	355	96	200	2015-04-25 05:35:49	2015-04-25 05:36:02	4	2015-04-25 05:36:02
3023	351	96	400	2015-04-25 05:36:02	2015-04-25 05:36:10	4	2015-04-25 05:36:10
3024	358	96	150	2015-04-25 05:36:10	2015-04-25 05:36:23	4	2015-04-25 05:36:23
3025	359	96	600	2015-04-25 05:36:24	2015-04-25 05:36:32	4	2015-04-25 05:36:32
3026	356	96	200	2015-04-25 05:36:33	2015-04-25 05:36:42	4	2015-04-25 05:36:42
3027	357	96	80	2015-04-25 05:36:43	2015-04-25 05:36:58	4	2015-04-25 05:36:58
3028	354	96	30	2015-04-25 05:36:58	2015-04-25 05:37:09	4	2015-04-25 05:37:09
3029	353	96	50	2015-04-25 05:37:09	2015-04-25 05:37:21	4	2015-04-25 05:37:21
3030	352	96	600	2015-04-25 05:37:21	2015-04-25 05:37:29	4	2015-04-25 05:37:29
3031	360	96	700	2015-04-25 05:37:29	2015-04-25 05:37:48	4	2015-04-25 05:37:48
3032	108	122	England	2015-04-25 05:42:17	2015-04-25 05:42:30	5	2015-04-25 05:42:30
3033	107	122	Germany	2015-04-25 05:42:31	2015-04-25 05:43:15	4	2015-04-25 05:43:15
3034	105	122	Italy	2015-04-25 05:43:16	2015-04-25 05:43:31	5	2015-04-25 05:43:31
3035	104	122	China	2015-04-25 05:43:32	2015-04-25 05:43:42	5	2015-04-25 05:43:42
3036	103	122	Spain	2015-04-25 05:43:42	2015-04-25 05:44:13	3	2015-04-25 05:44:13
3037	101	122	France	2015-04-25 05:44:14	2015-04-25 05:44:38	5	2015-04-25 05:44:38
